writer_id,primaryName,birthYear,deathYear,knownForTitles
nm0000511,Shirley MacLaine,1934,\N,tt0098384
nm0000513,William H. Macy,1950,\N,tt0118749
nm0000514,Michael Madsen,1957,\N,tt0105236
nm0000517,Terrence Malick,1943,\N,tt0077405
nm0000519,David Mamet,1947,\N,tt0104348
nm0000520,Michael Mann,1943,\N,tt0104691
nm0000521,Sophie Marceau,1966,\N,tt0143145
nm0000552,Eddie Murphy,1961,\N,tt0126029
nm0000554,Sam Neill,1947,\N,tt4698684
nm0000555,Judd Nelson,1959,\N,tt0102526
nm0000567,George Orwell,1903,1950,tt0087803
nm0000570,Alan Parker,1944,\N,tt0116250
nm0000575,Alexandra Paul,1963,\N,tt0085333
nm0000581,Joseph L. Mankiewicz,1909,1993,tt0042192
nm0000583,Wolfgang Petersen,1941,\N,tt0118571
nm0000585,Robert Picardo,1953,\N,tt0112178
nm0000586,Jada Pinkett Smith,1971,\N,tt0351283
nm0000587,Donald Pleasence,1919,1995,tt0057115
nm0000588,Martha Plimpton,1970,\N,tt0089218
nm0000590,Edgar Allan Poe,1809,1849,tt0379889
nm0000591,Roman Polanski,1933,\N,tt1139328
nm0000600,Sam Raimi,1959,\N,tt0083907
nm0000601,Harold Ramis,1944,2014,tt0083131
nm0000604,John C. Reilly,1965,\N,tt0841046
nm0000605,Brad Renfro,1982,2008,tt0118636
nm0000607,Paul Reubens,1952,\N,tt0089791
nm0000609,Ving Rhames,1959,\N,tt2381249
nm0000614,Alan Rickman,1946,2016,tt0177789
nm0000618,Isabella Rossellini,1952,\N,tt0090756
nm0000620,Mickey Rourke,1952,\N,tt1228705
nm0000621,Kurt Russell,1951,\N,tt3460252
nm0000628,Johnathon Schaech,1969,\N,tt4532368
nm0000632,Jerry Seinfeld,1954,\N,tt0389790
nm0000633,Tom Selleck,1945,\N,tt0094137
nm0000634,Peter Sellers,1925,1980,tt0057012
nm0000636,William Shakespeare,1564,1616,tt3390572
nm0000638,William Shatner,1931,\N,tt0098382
nm0000644,Helen Slater,1963,\N,tt0101587
nm0000647,Alan Smithee,\N,\N,tt0086491
nm0000656,Madeleine Stowe,1958,\N,tt0144214
nm0000666,Lili Taylor,1967,\N,tt1457767
nm0000667,David Thewlis,1963,\N,tt1201607
nm0000668,Emma Thompson,1959,\N,tt0107943
nm0000671,Billy Bob Thornton,1955,\N,tt0120324
nm0000672,Meg Tilly,1960,\N,tt0085244
nm0000676,Chris Tucker,1971,\N,tt0120812
nm0000681,Vince Vaughn,1970,\N,tt0396269
nm0000682,Paul Verhoeven,1938,\N,tt0164052
nm0000683,Gore Vidal,1925,2012,tt0119177
nm0000685,Jon Voight,1938,\N,tt0068473
nm0000691,John Waters,1946,\N,tt0099329
nm0000694,Wim Wenders,1945,\N,tt0087884
nm0000696,Wil Wheaton,1972,\N,tt0092455
nm0000697,Billy Wilder,1906,2002,tt0053604
nm0000698,Gene Wilder,1933,2016,tt0072431
nm0000706,Michelle Yeoh,1962,\N,tt1302011
nm0000709,Robert Zemeckis,1951,\N,tt0118884
nm0000717,Kareem Abdul-Jabbar,1947,\N,tt0131857
nm0000720,Jim Abrahams,1944,\N,tt0088286
nm0000724,Brooke Adams,1949,\N,tt0077745
nm0000729,Casey Affleck,1975,\N,tt0452623
nm0000735,Brian Aldiss,1925,2017,tt0212720
nm0000740,Irwin Allen,1916,1991,tt0072308
nm0000750,Jon Amiel,1948,\N,tt0112722
nm0000759,Paul Thomas Anderson,1970,\N,tt0469494
nm0000767,Jean-Hugues Anglade,1955,\N,tt0100263
nm0000774,Michelangelo Antonioni,1912,2007,tt0060176
nm0000777,Gregg Araki,1959,\N,tt0370986
nm0000778,Alfonso Arau,1932,\N,tt0092086
nm0000782,Asia Argento,1975,\N,tt0418819
nm0000786,George Armitage,1942,\N,tt0119229
nm0000788,Gillian Armstrong,1950,\N,tt0110367
