title_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0266543,movie,Finding Nemo,Finding Nemo,0,2003,\N,100,Adventure;Animation;Comedy,8.1,835721
tt0086190,movie,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,0,1983,\N,131,Action;Adventure;Fantasy,8.3,831064
tt0167404,movie,The Sixth Sense,The Sixth Sense,0,1999,\N,107,Drama;Mystery;Thriller,8.1,819201
tt0371746,movie,Iron Man,Iron Man,0,2008,\N,126,Action;Adventure;Sci-Fi,7.9,818108
tt1049413,movie,Up,Up,0,2009,\N,96,Adventure;Animation;Comedy,8.3,810953
tt0120382,movie,The Truman Show,The Truman Show,0,1998,\N,103,Comedy;Drama;Sci-Fi,8.1,805943
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,0,1975,\N,133,Drama,8.7,801044
tt0338013,movie,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,0,2004,\N,108,Drama;Romance;Sci-Fi,8.3,795467
tt0110357,movie,The Lion King,The Lion King,0,1994,\N,88,Adventure;Animation;Drama,8.5,795154
tt0105236,movie,Reservoir Dogs,Reservoir Dogs,0,1992,\N,99,Crime;Drama;Thriller,8.3,793150
tt0082971,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,0,1981,\N,115,Action;Adventure,8.5,780704
tt1392170,movie,The Hunger Games,The Hunger Games,0,2012,\N,142,Adventure;Sci-Fi;Thriller,7.2,778538
tt1431045,movie,Deadpool,Deadpool,0,2016,\N,108,Action;Adventure;Comedy,8.0,775118
tt2488496,movie,Star Wars: The Force Awakens,Star Wars: Episode VII - The Force Awakens,0,2015,\N,136,Action;Adventure;Fantasy,8.0,759586
tt1520211,tvSeries,The Walking Dead,The Walking Dead,0,2010,\N,44,Drama;Horror;Sci-Fi,8.4,759277
tt0114709,movie,Toy Story,Toy Story,0,1995,\N,81,Adventure;Animation;Comedy,8.3,758877
tt0107290,movie,Jurassic Park,Jurassic Park,0,1993,\N,127,Adventure;Sci-Fi;Thriller,8.1,753455
tt0081505,movie,The Shining,The Shining,0,1980,\N,146,Drama;Horror,8.4,747354
tt1392190,movie,Mad Max: Fury Road,Mad Max: Fury Road,0,2015,\N,120,Action;Adventure;Sci-Fi,8.1,744526
tt0268978,movie,A Beautiful Mind,A Beautiful Mind,0,2001,\N,135,Biography;Drama,8.2,742818
tt0477348,movie,No Country for Old Men,No Country for Old Men,0,2007,\N,122,Crime;Drama;Thriller,8.1,738269
tt0119217,movie,Good Will Hunting,Good Will Hunting,0,1997,\N,126,Drama;Romance,8.3,737523
tt2267998,movie,Gone Girl,Gone Girl,0,2014,\N,149,Crime;Drama;Mystery,8.1,727809
tt1010048,movie,Slumdog Millionaire,Slumdog Millionaire,0,2008,\N,120,Drama;Romance,8.0,726970
tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",0,2001,\N,92,Adventure;Animation;Comedy,8.1,710273
tt0401792,movie,Sin City,Sin City,0,2005,\N,124,Crime;Thriller,8.0,706518
tt0088247,movie,The Terminator,The Terminator,0,1984,\N,107,Action;Sci-Fi,8.0,705167
tt0903624,movie,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,0,2012,\N,169,Adventure;Family;Fantasy,7.9,705027
tt0208092,movie,Snatch,Snatch,0,2000,\N,104,Comedy;Crime,8.3,697426
tt0095016,movie,Die Hard,Die Hard,0,1988,\N,132,Action;Thriller,8.2,694939
tt0078748,movie,Alien,Alien,0,1979,\N,116,Horror;Sci-Fi,8.5,687821
tt0264464,movie,Catch Me If You Can,Catch Me If You Can,0,2002,\N,141,Biography;Crime;Drama,8.1,683187
tt1454468,movie,Gravity,Gravity,0,2013,\N,91,Drama;Sci-Fi;Thriller,7.7,682498
tt0246578,movie,Donnie Darko,Donnie Darko,0,2001,\N,113,Drama;Sci-Fi;Thriller,8.1,679774
tt0180093,movie,Requiem for a Dream,Requiem for a Dream,0,2000,\N,102,Drama,8.3,677808
tt0416449,movie,300,300,0,2006,\N,117,Action;Fantasy,7.7,675995
tt1475582,tvSeries,Sherlock,Sherlock,0,2010,\N,88,Crime;Drama;Mystery,9.2,668763
tt1201607,movie,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,0,2011,\N,130,Adventure;Drama;Fantasy,8.1,664930
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,\N,136,Crime;Drama;Sci-Fi,8.3,664303
tt1300854,movie,Iron Man 3,Iron Man 3,0,2013,\N,130,Action;Adventure;Sci-Fi,7.2,655730
tt0435761,movie,Toy Story 3,Toy Story 3,0,2010,\N,103,Adventure;Animation;Comedy,8.3,655309
tt1119646,movie,The Hangover,The Hangover,0,2009,\N,100,Comedy,7.7,651852
tt1205489,movie,Gran Torino,Gran Torino,0,2008,\N,116,Drama,8.1,651668
tt3659388,movie,The Martian,The Martian,0,2015,\N,144,Adventure;Drama;Sci-Fi,8.0,643688
tt0800369,movie,Thor,Thor,0,2011,\N,115,Action;Adventure;Fantasy,7.0,643552
tt1675434,movie,The Intouchables,Intouchables,0,2011,\N,112,Biography;Comedy;Drama,8.5,642666
tt0086250,movie,Scarface,Scarface,0,1983,\N,170,Crime;Drama,8.3,640094
tt0118715,movie,The Big Lebowski,The Big Lebowski,0,1998,\N,117,Comedy;Crime,8.1,638089
tt0120915,movie,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,0,1999,\N,136,Action;Adventure;Fantasy,6.5,632366
tt0211915,movie,Amélie,Le fabuleux destin d'Amélie Poulain,0,2001,\N,122,Comedy;Romance,8.3,631742
tt0947798,movie,Black Swan,Black Swan,0,2010,\N,108,Drama;Thriller,8.0,628817
tt0770828,movie,Man of Steel,Man of Steel,0,2013,\N,143,Action;Adventure;Fantasy,7.1,627076
tt0108778,tvSeries,Friends,Friends,0,1994,2004,22,Comedy;Romance,8.9,626072
tt0317248,movie,City of God,Cidade de Deus,0,2002,\N,130,Crime;Drama,8.6,622943
tt0458339,movie,Captain America: The First Avenger,Captain America: The First Avenger,0,2011,\N,124,Action;Adventure;Sci-Fi,6.9,622601
tt1843866,movie,Captain America: The Winter Soldier,Captain America: The Winter Soldier,0,2014,\N,136,Action;Adventure;Sci-Fi,7.8,622563
tt0145487,movie,Spider-Man,Spider-Man,0,2002,\N,121,Action;Adventure;Sci-Fi,7.3,620727
tt1228705,movie,Iron Man 2,Iron Man 2,0,2010,\N,124,Action;Sci-Fi,7.0,620427
tt0898266,tvSeries,The Big Bang Theory,The Big Bang Theory,0,2007,\N,22,Comedy;Romance,8.2,618268
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005,\N,140,Action;Adventure;Fantasy,7.6,618253
tt0480249,movie,I Am Legend,I Am Legend,0,2007,\N,101,Drama;Horror;Sci-Fi,7.2,615387
tt2395427,movie,Avengers: Age of Ultron,Avengers: Age of Ultron,0,2015,\N,141,Action;Adventure;Sci-Fi,7.4,612684
tt0253474,movie,The Pianist,The Pianist,0,2002,\N,150,Biography;Drama;Music,8.5,612642
tt0075314,movie,Taxi Driver,Taxi Driver,0,1976,\N,114,Crime;Drama,8.3,612599
tt0097576,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,0,1989,\N,127,Action;Adventure;Fantasy,8.3,610843
