director_id,primaryName,birthYear,deathYear,knownForTitles
nm0000490,Spike Lee,1957,\N,tt0097216
nm0000496,Juliette Lewis,1973,\N,tt0116367
nm0000500,Richard Linklater,1960,\N,tt2209418
nm0000517,Terrence Malick,1943,\N,tt0077405
nm0000518,John Malkovich,1953,\N,tt0120744
nm0000519,David Mamet,1947,\N,tt0104348
nm0000520,Michael Mann,1943,\N,tt0104691
nm0000521,Sophie Marceau,1966,\N,tt0143145
nm0000524,Mary Stuart Masterson,1966,\N,tt0106387
nm0000525,Heather Matarazzo,1982,\N,tt0332375
nm0000527,Walter Matthau,1920,2000,tt0063374
nm0000530,Andrew McCarthy,1962,\N,tt2372162
nm0000533,Gates McFadden,1949,\N,tt0253754
nm0000536,Robert Duncan McNeill,1964,\N,tt0093507
nm0000545,Helen Mirren,1945,\N,tt1245526
nm0000546,Matthew Modine,1959,\N,tt2932536
nm0000554,Sam Neill,1947,\N,tt4698684
nm0000559,Leonard Nimoy,1931,2015,tt0092007
nm0000563,Chris O'Donnell,1970,\N,tt0190865
nm0000570,Alan Parker,1944,\N,tt0116250
nm0000576,Sean Penn,1960,\N,tt0315733
nm0000578,Anthony Perkins,1932,1992,tt0054215
nm0000581,Joseph L. Mankiewicz,1909,1993,tt0042192
nm0000583,Wolfgang Petersen,1941,\N,tt0118571
nm0000591,Roman Polanski,1933,\N,tt1139328
nm0000594,Jason Priestley,1969,\N,tt0098749
nm0000597,Bill Pullman,1953,\N,tt1628841
nm0000600,Sam Raimi,1959,\N,tt0083907
nm0000602,Robert Redford,1936,\N,tt0074119
nm0000607,Paul Reubens,1952,\N,tt0089791
nm0000608,Burt Reynolds,1936,2018,tt0068473
nm0000618,Isabella Rossellini,1952,\N,tt0090756
nm0000625,Fred Savage,1976,\N,tt0094582
nm0000631,Ridley Scott,1937,\N,tt3659388
nm0000641,Gary Sinise,1955,\N,tt0109830
nm0000643,Tom Skerritt,1933,\N,tt0078748
nm0000647,Alan Smithee,\N,\N,tt0086491
nm0000649,Paul Sorvino,1939,\N,tt0102803
nm0000653,Brent Spiner,1949,\N,tt0116629
nm0000654,Terence Stamp,1938,\N,tt0109045
nm0000655,Eric Stoltz,1961,\N,tt0110912
nm0000656,Madeleine Stowe,1958,\N,tt0144214
nm0000670,Lea Thompson,1961,\N,tt0088763
nm0000671,Billy Bob Thornton,1955,\N,tt0120324
nm0000680,Casper Van Dien,1968,\N,tt0120201
nm0000682,Paul Verhoeven,1938,\N,tt0164052
nm0000689,Julie Warner,1965,\N,tt0114694
nm0000691,John Waters,1946,\N,tt0099329
nm0000693,Peter Weller,1947,\N,tt0100502
nm0000694,Wim Wenders,1945,\N,tt0087884
nm0000697,Billy Wilder,1906,2002,tt0053604
nm0000705,Robin Wright,1966,\N,tt0442933
nm0000707,Sean Young,1959,\N,tt0087182
nm0000709,Robert Zemeckis,1951,\N,tt0118884
nm0000712,Steve Cohen,\N,\N,tt0098844
nm0000720,Jim Abrahams,1944,\N,tt0088286
nm0000725,Joey Lauren Adams,1968,\N,tt0118842
nm0000726,Maud Adams,1945,\N,tt0086034
nm0000736,Robert Aldrich,1918,1983,tt0061578
nm0000739,Debbie Allen,1950,\N,tt0118607
nm0000740,Irwin Allen,1916,1991,tt0072308
nm0000743,Néstor Almendros,1930,1992,tt0079417
nm0000747,Don Ameche,1908,1993,tt0107131
nm0000749,Mädchen Amick,1970,\N,tt0822847
nm0000750,Jon Amiel,1948,\N,tt0112722
nm0000759,Paul Thomas Anderson,1970,\N,tt0469494
nm0000767,Jean-Hugues Anglade,1955,\N,tt0100263
nm0000770,David Anspaugh,1946,\N,tt0091217
nm0000774,Michelangelo Antonioni,1912,2007,tt0060176
nm0000776,Michael Apted,1941,\N,tt0143145
nm0000777,Gregg Araki,1959,\N,tt0370986
nm0000778,Alfonso Arau,1932,\N,tt0092086
nm0000782,Asia Argento,1975,\N,tt0418819
nm0000786,George Armitage,1942,\N,tt0119229
nm0000788,Gillian Armstrong,1950,\N,tt0110367
nm0000797,Hal Ashby,1929,1988,tt0078841
nm0000798,Linden Ashby,1960,\N,tt1567432
nm0000801,Olivier Assayas,1955,\N,tt4714782
nm0000806,Bille August,1948,\N,tt0119683
nm0000808,Paul Auster,1947,\N,tt0114478
nm0000809,Daniel Auteuil,1950,\N,tt0387898
nm0000812,Roger Avary,1965,\N,tt0292644
nm0000814,John G. Avildsen,1935,2017,tt0087538
nm0000815,Mili Avital,1972,\N,tt0112817
nm0000816,Jon Avnet,1949,\N,tt0346156
nm0000817,Lew Ayres,1908,1996,tt0020629
nm0000824,John Badham,1939,\N,tt0076666
nm0000829,Stuart Baird,1947,\N,tt0381061
nm0000835,Ralph Bakshi,1938,\N,tt0077869
nm0000837,Bob Balaban,1945,\N,tt0379725
nm0000838,Daniel Baldwin,1960,\N,tt1600194
nm0000841,Michael Ballhaus,1935,2017,tt0407887
nm0000843,Anne Bancroft,1931,2005,tt0061722
nm0000852,Jean-Marc Barr,1960,\N,tt0095250
nm0000859,Lionel Barrymore,1878,1954,tt0040506
nm0000860,Paul Bartel,1938,2000,tt0116225
nm0000863,Billy Barty,1924,2000,tt0089469
nm0000865,Richard Basehart,1914,1984,tt0047528
nm0000866,Saul Bass,1920,1996,tt0053125
nm0000867,Jason Bateman,1969,\N,tt2948356
nm0000870,Kathy Bates,1948,\N,tt0100157
nm0000871,Randall Batinkoff,1968,\N,tt0119874
nm0000876,Noah Baumbach,1969,\N,tt1234654
nm0000881,Michael Bay,1965,\N,tt0117500
nm0000887,Harold Becker,1928,\N,tt0098273
nm0000893,Ed Begley Jr.,1949,\N,tt1178663
nm0000905,Roberto Benigni,1952,\N,tt0090967
nm0000907,Richard Benjamin,1938,\N,tt0118954
nm0000911,Nigel Bennett,1949,\N,tt5580390
nm0000913,Robby Benson,1956,\N,tt0101414
nm0000914,Robert Benton,1932,\N,tt0078346
nm0000915,Bruce Beresford,1940,\N,tt0097239
nm0000921,Andrew Bergman,1945,\N,tt0071230
nm0000925,Steven Berkoff,1937,\N,tt0086034
nm0000934,Bernardo Bertolucci,1941,\N,tt0070849
nm0000937,Richard Beymer,1938,\N,tt0056197
nm0000941,Kathryn Bigelow,1951,\N,tt0114558
nm0000942,Theodore Bikel,1924,2015,tt0058385
nm0000944,Antonia Bird,1951,2013,tt0129332
nm0000945,Jane Birkin,1946,\N,tt0060176
nm0000948,Shane Black,1961,\N,tt1300854
nm0000949,Cate Blanchett,1969,\N,tt2334873
nm0000952,Hart Bochner,1956,\N,tt0095016
nm0000953,Peter Bogdanovich,1939,\N,tt0070510
nm0000956,Lisa Bonet,1967,\N,tt0120660
nm0000958,John Boorman,1933,\N,tt0082348
nm0000962,Carole Bouquet,1957,\N,tt0082398
nm0000965,Danny Boyle,1956,\N,tt1010048
nm0000966,Lorraine Bracco,1954,\N,tt0141842
nm0000970,Jonathan Brandis,1976,2003,tt0099864
nm0000972,Tinto Brass,1933,\N,tt0080491
nm0000976,Martin Brest,1951,\N,tt0119643
nm0000977,Beau Bridges,1941,\N,tt0467197
nm0000978,Lloyd Bridges,1913,1998,tt0083530
nm0000981,James Brolin,1940,\N,tt0078767
nm0000982,Josh Brolin,1968,\N,tt1013753
nm0000983,Albert Brooks,1947,\N,tt0780504
nm0000984,Avery Brooks,1948,\N,tt0120609
nm0000987,Jim Brown,1936,\N,tt0146838
nm0000989,Yul Brynner,1920,1985,tt0049833
nm0000994,Raymond Burr,1917,1993,tt0047396
nm0000996,LeVar Burton,1957,\N,tt0111280
nm0001001,James Caan,1940,\N,tt0100157
nm0001005,Jane Campion,1954,\N,tt0107822
nm0001008,Frank Capra,1897,1991,tt0031679
nm0001015,Robert Carlyle,1961,\N,tt2763304
nm0001023,John Cassavetes,1929,1989,tt0061578
nm0001024,Nick Cassavetes,1959,\N,tt1078588
nm0001038,Josh Charles,1971,\N,tt0430105
nm0001040,Joan Chen,1961,\N,tt0113492
nm0001044,Rae Dawn Chong,1961,\N,tt0088939
nm0001047,Michael Cimino,1939,2016,tt0077416
nm0001053,Ethan Coen,1957,\N,tt0116282
nm0001054,Joel Coen,1954,\N,tt0086979
nm0001060,Chris Columbus,1958,\N,tt0241527
nm0001064,Jason Connery,1963,\N,tt0184894
nm0001066,Robert Conrad,1935,\N,tt0116705
nm0001069,Bud Cort,1948,\N,tt0066026
nm0001073,Courteney Cox,1964,\N,tt0134084
nm0001077,Richard Crenna,1926,2003,tt0095956
nm0001081,Cameron Crowe,1957,\N,tt0116695
nm0001083,Jon Cryer,1965,\N,tt0369179
nm0001092,Mark Dacascos,1964,\N,tt0237534
nm0001093,John Dahl,1956,\N,tt0128442
nm0001097,Charles Dance,1946,\N,tt1374989
nm0001102,Joe Dante,1946,\N,tt0082533
nm0001103,Tony Danza,1951,\N,tt2229499
nm0001104,Frank Darabont,1959,\N,tt0884328
nm0001108,Robert Davi,1951,\N,tt2333784
nm0001112,Andrew Davis,1946,\N,tt0311289
nm0001115,Ossie Davis,1917,2005,tt0109446
nm0001117,Bruce Davison,1946,\N,tt0120903
nm0001120,Vittorio De Sica,1901,1974,tt0040522
nm0001123,Dom DeLuise,1933,2009,tt0071230
nm0001124,Cecil B. DeMille,1881,1959,tt0049833
nm0001125,Benicio Del Toro,1967,\N,tt0114814
nm0001129,Jonathan Demme,1944,2017,tt1084950
nm0001130,Ted Demme,1963,2002,tt0115639
nm0001133,Brian Dennehy,1938,\N,tt0382932
nm0001135,John Derek,1926,1998,tt0049833
nm0001137,William Devane,1939,\N,tt0816692
nm0001147,Shannen Doherty,1971,\N,tt0158552
nm0001149,Richard Donner,1930,\N,tt0089457
nm0001155,Patrick Duffy,1949,\N,tt1414382
nm0001159,Faye Dunaway,1941,\N,tt0071315
nm0001160,Adrian Dunbar,1958,\N,tt0104036
nm0001162,Griffin Dunne,1955,\N,tt0790636
nm0001163,Roy Dupuis,1963,\N,tt1259014
nm0001165,Charles S. Dutton,1951,\N,tt0348836
nm0001175,Blake Edwards,1922,2010,tt0057413
nm0001177,Chris Eigeman,1965,\N,tt0252076
nm0001178,Sergei M. Eisenstein,1898,1948,tt0015648
nm0001180,Britt Ekland,1942,\N,tt0070917
nm0001185,Hector Elizondo,1936,\N,tt0100405
nm0001187,Noah Emmerich,1965,\N,tt1650062
nm0001188,Nora Ephron,1941,2012,tt1135503
nm0001200,Gary Farmer,1953,\N,tt0165798
nm0001206,Abel Ferrara,1951,\N,tt0103759
nm0001207,José Ferrer,1912,1992,tt0087182
nm0001208,Miguel Ferrer,1955,2017,tt0093870
nm0001209,William Fichtner,1956,\N,tt0375679
nm0001212,Joseph Fiennes,1970,\N,tt0215750
nm0001214,Mike Figgis,1948,\N,tt0113627
nm0001216,Tara Fitzgerald,1967,\N,tt0944947
nm0001219,Gary Fleder,1965,\N,tt0313542
nm0001226,James Foley,1953,\N,tt4477536
nm0001228,Peter Fonda,1940,\N,tt0259324
nm0001232,Milos Forman,1932,2018,tt0079261
nm0001233,Robert Forster,1941,\N,tt1033575
nm0001239,John Frankenheimer,1930,2002,tt0116654
nm0001241,Stephen Frears,1941,\N,tt2431286
nm0001243,William Friedkin,1935,\N,tt1726669
nm0001252,Vincent Gallo,1961,\N,tt0106307
nm0001261,Rebecca Gayheart,1971,\N,tt0146336
nm0001262,Ben Gazzara,1930,2012,tt0162677
nm0001263,Jason Gedrick,1965,\N,tt0101393
nm0001266,Gil Gerard,1943,\N,tt3799694
nm0001270,Brian Gibson,1944,2004,tt0120679
nm0001274,Paul Michael Glaser,1943,\N,tt0093894
nm0001281,Bobcat Goldthwait,1962,\N,tt1912398
nm0001282,Tony Goldwyn,1960,\N,tt1082807
nm0001286,Elizabeth Gracen,1961,\N,tt2866360
nm0001290,Richard E. Grant,1957,\N,tt0094336
nm0001291,Rupert Graves,1963,\N,tt0091867
nm0001298,Richard Grieco,1965,\N,tt2294449
nm0001306,Larry Hagman,1931,2012,tt0078346
nm0001317,Renny Harlin,1959,\N,tt0149261
nm0001319,Mark Harmon,1951,\N,tt0360139
nm0001328,Howard Hawks,1896,1977,tt0053221
nm0001331,Todd Haynes,1961,\N,tt0368794
nm0001332,Robert Hays,1947,\N,tt0426592
nm0001338,Brian Helgeland,1961,\N,tt0328107
nm0001340,Katherine Helmond,1929,\N,tt0081633
nm0001348,Werner Herzog,1942,\N,tt0427312
nm0001351,George Roy Hill,1921,2002,tt0070735
nm0001353,Walter Hill,1942,\N,tt0083511
nm0001355,Michael Hoffman,1956,\N,tt0117247
nm0001358,Hal Holbrook,1925,\N,tt0080749
nm0001361,Tobe Hooper,1943,2017,tt0072271
nm0001364,Bob Hoskins,1942,2014,tt0108255
nm0001367,C. Thomas Howell,1966,\N,tt0083866
nm0001370,Finola Hughes,1959,\N,tt1758692
nm0001378,Anjelica Huston,1951,\N,tt0101272
